id;label;vocab;ref_id;created_at;updated_at
019adb0c-f5e3-71c8-919d-b6def31ec0f2;arquitetura art nouveau;VCAA;1872;2025-12-01 14:54:11;2025-12-01 14:54:11
019adb0c-f687-72da-9178-3340fd3f2a16;arquitetura barroca;VCAA;1875;2025-12-01 14:54:11;2025-12-01 14:54:11
019adb0c-f6f5-7366-b51e-a5a7b32dc7e8;arquitetura basca;VCAA;2482;2025-12-01 14:54:11;2025-12-01 14:54:11
019adb0c-f763-70a8-98ee-da796b0c7b83;arquitetura bizantina;VCAA;247;2025-12-01 14:54:11;2025-12-01 14:54:11
019adb0c-f7d1-7009-9391-6d1ab5cf5952;arquitetura brutalista;VCAA;6357;2025-12-01 14:54:11;2025-12-01 14:54:11
019adb0c-f840-70c4-a40d-dc9b32a2451f;arquitetura colonial;VCAA;1879;2025-12-01 14:54:11;2025-12-01 14:54:11
019adb0c-f8ae-711e-9cc1-4603fb830188;arquitetura eclética;VCAA;453;2025-12-01 14:54:11;2025-12-01 14:54:11
019adb0c-f91d-72b1-9a41-175658db5d4c;arquitetura espanhola;VCAA;1883;2025-12-01 14:54:11;2025-12-01 14:54:11
019adb0c-f98b-701d-a76e-9fcbdda12300;arquitetura espontânea;VCAA;1884;2025-12-01 14:54:11;2025-12-01 14:54:11
019adb0c-f9f8-71f3-9632-ee06f0ed9e95;arquitetura fantástica;VCAA;1885;2025-12-01 14:54:12;2025-12-01 14:54:12
019adb0c-fa65-7398-8c7b-1bd87f752de2;arquitetura gótica;VCAA;168;2025-12-01 14:54:12;2025-12-01 14:54:12
019adb0c-fad0-7343-ac57-b452a4f19c1e;arquitetura inclusiva;VCAA;7633;2025-12-01 14:54:12;2025-12-01 14:54:12
019adb0c-fb3e-724b-ad40-fd1d6eb0512b;arquitetura kitsch;VCAA;2499;2025-12-01 14:54:12;2025-12-01 14:54:12
019adb0c-fba8-7281-b689-9c5267455a24;arquitetura luso-brasileira;VCAA;1889;2025-12-01 14:54:12;2025-12-01 14:54:12
019adb0c-fc15-72ce-a1fa-b82f61fd7a9f;arquitetura neo-românica;VCAA;1893;2025-12-01 14:54:12;2025-12-01 14:54:12
019adb0c-fc83-71ef-86b6-8875dcf07279;arquitetura neoclássica;VCAA;1894;2025-12-01 14:54:12;2025-12-01 14:54:12
019adb0c-fcf1-7017-8bb4-d83123d6dc78;arquitetura neocolonial;VCAA;2501;2025-12-01 14:54:12;2025-12-01 14:54:12
019adb0c-fd5e-725f-a2cf-66880c501068;arquitetura neogótica;VCAA;1895;2025-12-01 14:54:12;2025-12-01 14:54:12
019adb0c-fdcb-722c-b173-d2bee736043a;arquitetura neogrega;VCAA;1896;2025-12-01 14:54:13;2025-12-01 14:54:13
019adb0c-fe39-738b-a0ef-adf8c9dab1dd;arquitetura orgânica;VCAA;2498;2025-12-01 14:54:13;2025-12-01 14:54:13
019adb0c-fea7-7071-9225-b3918b3b95d8;arquitetura paulista;VCAA;1892;2025-12-01 14:54:13;2025-12-01 14:54:13
019adb0c-ff16-73c0-acb0-79ec741c9039;arquitetura popular;VCAA;175;2025-12-01 14:54:13;2025-12-01 14:54:13
019adb0c-ff82-72d2-99e5-fa29e8bdca11;arquitetura portuguesa;VCAA;176;2025-12-01 14:54:13;2025-12-01 14:54:13
019adb0c-ffee-71e2-b49c-e2c6114da7d8;arquitetura racionalista;VCAA;2497;2025-12-01 14:54:13;2025-12-01 14:54:13
019adb0d-005b-72c9-b54a-b07b38e14042;arquitetura românica;VCAA;3567;2025-12-01 14:54:13;2025-12-01 14:54:13
019adb0d-00c8-70b9-b2a9-5bff1c850ece;arquitetura rupestre;VCAA;6546;2025-12-01 14:54:13;2025-12-01 14:54:13
019adb0d-0133-73bf-95f5-34a9a70e1578;arquitetura sustentável;VCAA;5397;2025-12-01 14:54:13;2025-12-01 14:54:13
019adb0d-01a1-7056-a4ee-c2c9938affd6;arquitetura teuto-brasileira;VCAA;180;2025-12-01 14:54:14;2025-12-01 14:54:14
019adb0d-0210-712a-a86b-96ae2d91a5f9;arquitetura vernacular;VCAA;181;2025-12-01 14:54:14;2025-12-01 14:54:14
019adb0d-03b4-726f-bde4-c1c4f009b7ff;acessibilidade ao meio físico;VCAA;2589;2025-12-01 14:54:14;2025-12-01 14:54:14
