id;name;count;type
1;Concreto;3280;NULL
2;"Concreto pintado";480;NULL
3;Alvenaria;1998;NULL
4;Vidro;2016;NULL
5;Ferro;2194;NULL
6;"Elemento vazado";224;NULL
7;Cobogó;172;NULL
8;"Fachada cega";235;NULL
9;Pilar;1000;NULL
10;Abertura;409;NULL
11;"Guarda corpo";322;NULL
12;Público;2689;NULL
13;Reservatório;3;NULL
14;Edifício;1468;NULL
15;Prédio;1274;NULL
16;Patio;36;NULL
17;Mármore;59;NULL
18;Granito;238;NULL
19;Madeira;1199;NULL
20;Ornamento;178;NULL
21;"Alto relevo";71;NULL
22;"Baixo relevo";41;NULL
23;Friso;71;NULL
24;Voluta;66;NULL
25;Bandeira;44;NULL
26;Sacada;58;NULL
27;"Mão francesa";23;NULL
28;"Porta duas folhas";72;NULL
29;"Janela pivotante";106;NULL
30;"Janela duas folhas";54;NULL
31;Financeiro;59;NULL
32;Banco;726;NULL
33;Rua;893;NULL
34;Calçada;731;NULL
35;"Concreto aparente";2030;NULL
36;Esquadria;1231;NULL
37;"Pano de vidro";1187;NULL
38;Pilastra;51;NULL
39;"Parede curva";187;NULL
40;Comercial;168;NULL
41;Circulação;851;NULL
42;Poste;442;NULL
43;"Janela basculante";418;NULL
44;"Janela de correr";116;NULL
45;Veneziana;240;NULL
46;Varanda;188;NULL
47;Marquise;226;NULL
48;Habitação;885;NULL
49;Cimento;367;NULL
50;Pedra;862;NULL
51;Escultura;328;NULL
52;Coluna;742;NULL
53;Pórtico;51;NULL
54;Telha;296;NULL
55;"Telha cerâmica";337;NULL
56;Telhado;351;NULL
57;Caixilho;798;NULL
58;Janela;776;NULL
59;Balaústre;70;NULL
60;Frontão;62;NULL
61;Arco;178;NULL
62;Óculo;39;NULL
63;"Ar condicionado";115;NULL
64;Mureta;241;NULL
65;Mosaico;153;NULL
66;Educacional;399;NULL
67;Faculdade;208;NULL
68;Igreja;225;NULL
69;Cerâmica;931;NULL
70;Mobiliário;411;NULL
71;Beiral;247;NULL
72;"Tijolo de barro";245;NULL
73;"Óculo Portão";4;NULL
74;"Banca de jornal";20;NULL
75;Degrau;398;NULL
76;Escada;493;NULL
77;"Óculo Degrau";0;NULL
78;Estrutura;621;NULL
79;Laje;497;NULL
80;Vão;18;NULL
81;Muro;253;NULL
82;Transporte;257;NULL
83;Gárgula;49;NULL
84;Passarela;70;NULL
85;Patamar;342;NULL
86;"Caixa dágua";6;NULL
87;Clube;57;NULL
88;Esportivo;46;NULL
89;Cultural;181;NULL
90;Rampa;157;NULL
91;Água;260;NULL
92;Cobertura;758;NULL
93;"Janela guilhotina";90;NULL
94;Turístico;259;NULL
95;Hotel;34;NULL
96;Piscina;52;NULL
97;"Estrutura de madeira";80;NULL
98;Apoio;210;NULL
99;Fachada;672;NULL
100;Parede;306;NULL
101;Casa;670;NULL
102;Residência;819;NULL
103;Viga;426;NULL
104;Cachorro;19;NULL
105;Porta;310;NULL
106;"Porta de correr";118;NULL
107;Pérgola;136;NULL
108;Brise;437;NULL
109;Cano;64;NULL
110;Terraço;108;NULL
111;Mesa;177;NULL
112;Bancada;54;NULL
113;Luminária;559;NULL
114;"Piso de madeira";51;NULL
115;"Sala de estar";43;NULL
116;Platibanda;378;NULL
117;Jardim;587;NULL
118;Estante;72;NULL
119;"Forro de madeira";20;NULL
120;Biblioteca;23;NULL
121;Vitral;51;NULL
122;Armário;20;NULL
123;Cozinha;5;NULL
124;Lareira;24;NULL
125;"Parede inclinada";24;NULL
126;Portão;114;NULL
127;Atelier;36;NULL
128;Corrimão;185;NULL
129;"Escada caracol";155;NULL
130;Pilotis;250;NULL
131;"Estrutura em balanço";21;NULL
132;Escadaria;145;NULL
133;Verde;5;NULL
134;Azul;11;NULL
135;Largo;38;NULL
136;Barroco;1;NULL
137;Franciscano;1;NULL
138;Conjunto;1;NULL
139;Museu;194;NULL
140;Ecletismo;30;NULL
141;Palacete;10;NULL
142;Eclético;3;NULL
143;Interior;8;NULL
144;Palácio;5;NULL
145;Salão;4;NULL
146;Cunhais;3;NULL
147;Mercado;18;NULL
148;Elevador;4;NULL
149;Patrimônio;34;NULL
150;Intervenção;24;NULL
151;Piso;18;NULL
152;"Mosaico português";139;NULL
153;Brises;6;NULL
154;Restaurante;4;NULL
155;Metal;9;NULL
156;"Ramos de Azevedo Jahu Jaú Ecletismo";1;NULL
157;"Jahu Jaú Ecletismo";1;NULL
158;Jahu;4;NULL
159;"Banco Melhoramentos";1;NULL
160;Jaú;4;NULL
161;"Edifício Comercial";2;NULL
162;Arqueologia;6;NULL
163;Ruína;41;NULL
164;"Duas águas";5;NULL
165;Açúcar;8;NULL
166;Colonial;18;NULL
167;Engenho;19;NULL
168;Conservação;1;NULL
169;Usp;5;NULL
170;Fundações;1;NULL
171;Base;6;NULL
172;Andaime;76;NULL
173;Auditório;12;NULL
174;Lambris;1;NULL
175;"Sala de aula";2;NULL
176;Ardósia;3;NULL
177;Alumínio;53;NULL
178;Corredor;32;NULL
179;"Piso intertravado";4;NULL
180;Grade;122;NULL
181;Portaria;1;NULL
182;"Estação ferroviária";14;NULL
183;Plataforma;50;NULL
184;Estacionamento;112;NULL
185;Teatro;27;NULL
186;Relevo;2;NULL
187;Praça;1039;NULL
188;Centro;39;NULL
189;"Século XX";6;NULL
190;"Três pavimentos";1;NULL
191;"Mineiros do Tietê";1;NULL
192;"Arquitetura seiscentista";1;NULL
193;"Arquitetura colonial";5;NULL
194;Pernambuco;1;NULL
195;"Século XVII";1;NULL
196;Olinda;1;NULL
197;Muxarabi;11;NULL
198;"Lúcio costa";4;NULL
199;Modernismo;20;NULL
200;"Oscar niemeyer";15;NULL
201;"Arquitetura moderna";351;NULL
202;"Rio de janeiro";3;NULL
203;Brise-soleil;1;NULL
204;Brutalismo;107;NULL
205;Mam;2;NULL
206;"Affonso reidy";2;NULL
207;SP;8;NULL
208;"Casas - São Paulo
arquitetura moderna
São Paulo";1;NULL
209;"Arquitetura moderna São Paulo";0;NULL
210;Timbó;26;NULL
211;Tijolo;161;NULL
212;"Santa catarina";30;NULL
213;Enxaimel;17;NULL
214;"Telha plana";11;NULL
215;Teuto-brasileira;5;NULL
216;Luterana;7;NULL
217;Evangélica;1;NULL
218;"Estrutura metálica";121;NULL
219;Eventos;2;NULL
220;Pavilhão;20;NULL
221;"Quadra poliesportiva";7;NULL
222;Paralelepípedo;143;NULL
223;Fábrica;15;NULL
224;Chaminé;63;NULL
225;Bicicleta;3;NULL
226;Papelão;3;NULL
227;"Fábrica papelão paralelepípedo tijolo timbó santa catarina";1;NULL
228;Hammermeinster;2;NULL
229;"Museu da música";2;NULL
230;Losango;1;NULL
231;"Arquitetura teuto-brasileira";6;NULL
232;"Jardim botânico";6;NULL
233;Empena;36;NULL
234;Numeração;1;NULL
235;Encaixe;1;NULL
236;Rancho;1;NULL
237;Assoalho;1;NULL
238;Palco;9;NULL
239;"Museu do Imigrante";2;NULL
240;"Torre sineira";3;NULL
241;Relógio;39;NULL
242;Comércio;20;NULL
243;Tora;1;NULL
244;Galpão;14;NULL
245;Araucária;1;NULL
246;Ponte;76;NULL
247;"Roda d'água";1;NULL
248;"Rio benedito";2;NULL
249;Engrenagem;1;NULL
250;"Ponte estaiadada";1;NULL
251;Barragem;1;NULL
252;Balcão;32;NULL
253;Sótão;1;NULL
254;Chalé;1;NULL
255;Vidros;1;NULL
256;"Hans broos";4;NULL
257;"Itoupava seca";4;NULL
258;Blumenau;4;NULL
259;Pilares;9;NULL
260;Bancos;2;NULL
261;Coro;1;NULL
262;Altar;24;NULL
263;"Arquitetura contemporânea";5;NULL
264;"Art Déco";1;NULL
265;"Década de 1930";1;NULL
266;"Arquitetura paulista";2;NULL
267;"Anos 30";1;NULL
268;"Arquitetura portuguesa";1;NULL
269;"Escada de mão";49;NULL
270;"Plano inclinado";95;NULL
271;Portinhola;24;NULL
272;Azulejo;196;NULL
273;Toldo;69;NULL
274;Taipa;48;NULL
275;Cerca;156;NULL
276;Caibro;10;NULL
277;Ripa;127;NULL
278;Mar;25;NULL
279;Pilarete;89;NULL
280;Casario;55;NULL
281;Cumeeira;15;NULL
282;Peitoril;37;NULL
283;"Caixa d'água";61;NULL
284;"Bloco de concreto";132;NULL
285;Conduíte;14;NULL
286;"Janela contrapeso";67;NULL
287;"Conjunto habitacional";44;NULL
288;"Bloco intertravado";38;NULL
289;Garagem;29;NULL
290;Claraboia;35;NULL
291;"Abertura zenital";80;NULL
292;Trilho;6;NULL
293;Rufo;44;NULL
294;Aeroporto;27;NULL
295;Porte;2;NULL
296;Holofote;35;NULL
297;Epóxi;25;NULL
298;Maquinário;33;NULL
299;Enterrado;14;NULL
300;Domus;56;NULL
301;Cidade;120;NULL
302;Persiana;34;NULL
303;Colunata;84;NULL
304;Painel;159;NULL
305;Administrativo;241;NULL
306;Ministério;221;NULL
307;"Placa pré moldada";2;NULL
308;Fibrocimento;102;NULL
309;"Telhado duas águas";81;NULL
310;Estrada;28;NULL
311;"Telhado uma água";25;NULL
312;Tenda;14;NULL
313;Exaustor;8;NULL
314;Alambrado;54;NULL
315;Mezanino;110;NULL
316;Carpete;9;NULL
317;Religioso;286;NULL
318;"Estação rodoviária";166;NULL
319;"Vão livre";159;NULL
320;Escora;104;NULL
321;Vergalhão;80;NULL
322;Areia;73;NULL
323;Aço;154;NULL
324;Fôrma;98;NULL
325;Esteio;88;NULL
326;Cimbramento;116;NULL
327;Escola;227;NULL
328;Construção;329;NULL
329;"Canteiro de obra";87;NULL
330;Desnível;450;NULL
331;"Mares de morros";44;NULL
332;Vale;8;NULL
333;Planície;11;NULL
334;Quadra;50;NULL
335;Cascalho;32;NULL
336;Equipamento;31;NULL
337;"Armadura metálica";44;NULL
338;Encosta;17;NULL
339;Treliça;79;NULL
340;"Anel de concreto";6;NULL
341;Prefeitura;20;NULL
342;Divisória;3;NULL
343;"Duto de ar";2;NULL
