id;label;vocab;ref_id;created_at;updated_at
019adb05-0b35-731c-8a4d-09517b226e1c;culto;VCAA;2084;"2025-12-01 14:45:32";"2025-12-01 14:45:32"
019adb05-0caa-736a-96c3-c20b415fd001;"cultura e lazer";VCAA;3077;"2025-12-01 14:45:32";"2025-12-01 14:45:32"
019adb05-0d16-705c-8e23-6e75dcfd2140;"ensino e pesquisa";VCAA;2127;"2025-12-01 14:45:32";"2025-12-01 14:45:32"
019adb05-0d83-718b-bf65-f520f254c004;habitação;VCAA;2043;"2025-12-01 14:45:32";"2025-12-01 14:45:32"
019adb05-0def-70e9-942b-5b42917dc5f0;produção;VCAA;2261;"2025-12-01 14:45:32";"2025-12-01 14:45:32"
019adb05-0e5b-7117-b72d-02363a0341e2;"saúde e assistência social";VCAA;2123;"2025-12-01 14:45:33";"2025-12-01 14:45:33"
019adb05-0ec6-7147-a456-b0bc22ee7240;segurança;VCAA;6819;"2025-12-01 14:45:33";"2025-12-01 14:45:33"
019adb05-0f32-71ac-b641-42a6befe13f5;trabalho;VCAA;2260;"2025-12-01 14:45:33";"2025-12-01 14:45:33"
019adb05-0fa0-72d7-b1bd-2b2a5497f0ff;transporte;VCAA;6817;"2025-12-01 14:45:33";"2025-12-01 14:45:33"
019adb05-1147-72b6-b349-ed365a05d041;"edifícios religiosos";VCAA;2085;"2025-12-01 14:45:33";"2025-12-01 14:45:33"
019adb05-11b4-7120-b823-62e9511392e6;funerárias;VCAA;2104;"2025-12-01 14:45:33";"2025-12-01 14:45:33"
019adb05-1221-7020-bcd2-cee3ea714af9;monumentos;VCAA;2101;"2025-12-01 14:45:33";"2025-12-01 14:45:33"
019adb05-13ca-73e3-9944-beaae0d5d2a8;anfiteatros;VCAA;2120;"2025-12-01 14:45:34";"2025-12-01 14:45:34"
019adb05-1442-702b-8787-c4e6c2968994;arenas;VCAA;152;"2025-12-01 14:45:34";"2025-12-01 14:45:34"
019adb05-14b0-7005-8722-c5c3a6512d39;auditórios;VCAA;201;"2025-12-01 14:45:34";"2025-12-01 14:45:34"
019adb05-151d-721f-a37f-ac91991057c3;"centros comunitários";VCAA;3081;"2025-12-01 14:45:34";"2025-12-01 14:45:34"
019adb05-158a-7165-a206-21e09d08cdd4;"centros culturais";VCAA;3269;"2025-12-01 14:45:34";"2025-12-01 14:45:34"
019adb05-15f6-7322-8b4d-663e5848242f;"centros de convenções";VCAA;3078;"2025-12-01 14:45:34";"2025-12-01 14:45:34"
019adb05-1662-7006-a6a9-5e1323da56b3;"centros para exposições";VCAA;3084;"2025-12-01 14:45:35";"2025-12-01 14:45:35"
019adb05-16d0-7396-98ee-a17f3891704c;cinemas;VCAA;359;"2025-12-01 14:45:35";"2025-12-01 14:45:35"
019adb05-173b-726b-b524-1f9abae0e707;"colônia de férias";VCAA;377;"2025-12-01 14:45:35";"2025-12-01 14:45:35"
019adb05-17a8-7316-b814-94917bbb9e2a;"complexo cultural";VCAA;386;"2025-12-01 14:45:35";"2025-12-01 14:45:35"
019adb05-1816-7144-90ee-f2d28408f50f;"construções esportivas";VCAA;403;"2025-12-01 14:45:35";"2025-12-01 14:45:35"
019adb05-1883-7217-baba-b18103f77ea9;"edifícios culturais";VCAA;2128;"2025-12-01 14:45:35";"2025-12-01 14:45:35"
019adb05-18f0-732b-87ca-91507d8af590;"edifícios históricos";VCAA;1821;"2025-12-01 14:45:35";"2025-12-01 14:45:35"
019adb05-1969-727c-8bba-a776c328e51e;"edifícios para recreação";VCAA;2119;"2025-12-01 14:45:35";"2025-12-01 14:45:35"
019adb05-19d4-70e1-8dbf-4b50ab2eeb3d;galerias;VCAA;6669;"2025-12-01 14:45:35";"2025-12-01 14:45:35"
019adb05-1a42-735b-8e07-69f3fab33bad;"galerias de arte (edifícios)";VCAA;6672;"2025-12-01 14:45:36";"2025-12-01 14:45:36"
019adb05-1ab1-73ec-aaa9-52b120e107c7;"museus (edifícios)";VCAA;1826;"2025-12-01 14:45:36";"2025-12-01 14:45:36"
019adb05-1b1d-72dd-a5c1-d84c13ab71e7;orquidário;VCAA;817;"2025-12-01 14:45:36";"2025-12-01 14:45:36"
019adb05-1b8c-704f-99fd-c45e3e93d5ac;"parques de diversão";VCAA;6736;"2025-12-01 14:45:36";"2025-12-01 14:45:36"
019adb05-1bf9-73c4-b090-7f45bd1562f4;"pavilhões para exposição";VCAA;3079;"2025-12-01 14:45:36";"2025-12-01 14:45:36"
019adb05-1c69-7128-b4d6-13873be929bc;pinacoteca;VCAA;908;"2025-12-01 14:45:36";"2025-12-01 14:45:36"
019adb05-1cd8-7264-beed-0111a3064265;retiro;VCAA;2109;"2025-12-01 14:45:36";"2025-12-01 14:45:36"
019adb05-1d46-7251-b4cd-5a4aa21d0751;"teatros (edifício)";VCAA;1111;"2025-12-01 14:45:36";"2025-12-01 14:45:36"
019adb05-1ef5-73a1-a931-185e5ed3bd66;"edifícios para ensino";VCAA;7607;"2025-12-01 14:45:37";"2025-12-01 14:45:37"
019adb05-1f6c-732a-b470-34ee6c17f9ce;"edifícios para pesquisa";VCAA;2522;"2025-12-01 14:45:37";"2025-12-01 14:45:37"
019adb05-210e-7078-8e99-3ecd1cef1d93;"edifícios residenciais";VCAA;2509;"2025-12-01 14:45:37";"2025-12-01 14:45:37"
019adb05-22ae-7122-b111-3afbdb3c8dd8;"moinhos de vento";VCAA;6698;"2025-12-01 14:45:38";"2025-12-01 14:45:38"
019adb05-2396-7359-bcce-96d81c86e3cb;usinas;VCAA;2265;"2025-12-01 14:45:38";"2025-12-01 14:45:38"
019adb05-252a-72cd-a815-94533d8b9392;"edifícios para assistência social";VCAA;2517;"2025-12-01 14:45:38";"2025-12-01 14:45:38"
019adb05-259e-7211-a6f1-7a4d2701808c;"edifícios para saúde";VCAA;2518;"2025-12-01 14:45:38";"2025-12-01 14:45:38"
